;Layer;Avg. Accuracy;Avg. Mean
0;conv3_4_1x1_reduce;88,93;0,6
1;conv3_4_1x1_reduce/bn;89,51;0,57
2;activation_32;90,22;0,52
3;conv3_4_3x3;89,38;0,59
4;conv3_4_3x3/bn;89;0,58
5;activation_33;90,03;0,52
6;conv3_4_1x1_increase;88,22;0,57
7;conv3_4_1x1_increase/bn;89,83;0,59
8;multiply_7;90,99;0,53
9;add_7;90,15;0,53
10;activation_36;90,15;0,55
11;conv4_1_1x1_reduce;87,52;0,55
12;conv4_1_1x1_reduce/bn;90,41;0,45
13;activation_37;89,38;0,5
14;conv4_1_3x3;90,22;0,48
15;conv4_1_3x3/bn;90,73;0,43
16;activation_38;89,9;0,45
17;conv4_1_1x1_increase;88,67;0,52
18;conv4_1_1x1_increase/bn;90,28;0,47
19;conv4_1_1x1_proj;89,51;0,55
20;multiply_8;88,87;0,52
21;conv4_1_1x1_proj/bn;90,93;0,47
22;add_8;89,9;0,46
23;activation_41;89,9;0,45
24;conv4_2_1x1_reduce;89,45;0,49
25;conv4_2_1x1_reduce/bn;90,73;0,43
26;activation_42;90,35;0,43
27;conv4_2_3x3;88,61;0,49
28;conv4_2_3x3/bn;89,9;0,5
29;activation_43;89,9;0,47
30;conv4_2_1x1_increase;88,03;0,54
31;conv4_2_1x1_increase/bn;89,45;0,48
32;multiply_9;90,41;0,48
33;add_9;90,6;0,38
34;activation_46;90,67;0,43
35;conv4_3_1x1_reduce;89,64;0,51
36;conv4_3_1x1_reduce/bn;89,96;0,46
37;activation_47;90,6;0,43
38;conv4_3_3x3;89,96;0,5
39;conv4_3_3x3/bn;90,6;0,46
40;activation_48;89,7;0,5
41;conv4_3_1x1_increase;86,74;0,6
42;conv4_3_1x1_increase/bn;89,64;0,52
43;multiply_10;89,38;0,54
44;add_10;90,48;0,4
45;activation_51;92,02;0,35
46;conv4_4_1x1_reduce;90,15;0,48
47;conv4_4_1x1_reduce/bn;90,93;0,45
48;activation_52;91,7;0,38
49;conv4_4_3x3;88,74;0,49
50;conv4_4_3x3/bn;90,28;0,47
51;activation_53;90,41;0,48
52;conv4_4_1x1_increase;89,45;0,5
53;conv4_4_1x1_increase/bn;91,06;0,52
54;multiply_11;91,18;0,51
55;add_11;91,51;0,38
56;activation_56;91,31;0,37
57;conv4_5_1x1_reduce;91,06;0,42
58;conv4_5_1x1_reduce/bn;91,76;0,43
59;activation_57;91,18;0,38
60;conv4_5_3x3;89,83;0,46
61;conv4_5_3x3/bn;91,51;0,48
62;activation_58;90,03;0,44
63;conv4_5_1x1_increase;89,51;0,48
64;conv4_5_1x1_increase/bn;90,35;0,45
65;multiply_12;90,86;0,44
66;add_12;91,96;0,42
67;activation_61;90,93;0,42
68;conv4_6_1x1_reduce;91,06;0,43
69;conv4_6_1x1_reduce/bn;90,93;0,43
70;activation_62;89,9;0,47
71;conv4_6_3x3;90,09;0,47
72;conv4_6_3x3/bn;90,67;0,48
73;activation_63;90,93;0,45
74;conv4_6_1x1_increase;89,77;0,5
75;conv4_6_1x1_increase/bn;90,99;0,49
76;multiply_13;91,31;0,48
77;add_13;91,51;0,42
78;activation_66;91,89;0,4
79;conv5_1_1x1_reduce;90,22;0,44
80;conv5_1_1x1_reduce/bn;90,86;0,44
81;activation_67;90,93;0,4
82;conv5_1_3x3;89,96;0,43
83;conv5_1_3x3/bn;91,83;0,41
84;activation_68;91,96;0,35
85;conv5_1_1x1_increase;88,74;0,43
86;conv5_1_1x1_increase/bn;90,93;0,43
87;conv5_1_1x1_proj;89;0,48
88;multiply_14;90,41;0,44
89;conv5_1_1x1_proj/bn;90,03;0,44
90;add_14;89,77;0,47
91;activation_71;91,31;0,38
92;conv5_2_1x1_reduce;88,8;0,43
93;conv5_2_1x1_reduce/bn;89,51;0,47
94;activation_72;88,93;0,45
95;conv5_2_3x3;89;0,44
96;conv5_2_3x3/bn;89,12;0,48
97;activation_73;87,77;0,54
98;conv5_2_1x1_increase;84,68;0,6
99;conv5_2_1x1_increase/bn;86,74;0,58
100;multiply_15;86,23;0,59
101;add_15;88,35;0,53
102;activation_76;90,73;0,41
103;conv5_3_1x1_reduce;87,97;0,49
104;conv5_3_1x1_reduce/bn;89,38;0,5
105;activation_77;88,74;0,52
106;conv5_3_3x3;86,94;0,54
107;conv5_3_3x3/bn;87,19;0,66
108;activation_78;86,94;0,68
109;conv5_3_1x1_increase;87,19;0,64
110;conv5_3_1x1_increase/bn;86,29;0,85
